STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-24,0,0,34,56,24,26
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-25,0,0,32,60,26,36
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-26,0,0,30,40,30,34
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-27,0.03,0.5,30,40,20,24
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-28,0,0,29,42,12,14
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-01,0,0,28,48,12,16
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-02,0,0,28,40,16,24
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-03,1.2,12,40,38,24,26
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-04,0.6,6,44,28,0,8
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-05,0,0,42,36,-4,4
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-06,0,0,40,50,4,15
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-07,0,0,36,52,15,24
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-08,0,0,34,64,24,37
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-09,0,0,30,68,33,39
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-10,0,0,28,68,36,38
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-11,0,0,24,65,35,40
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-12,0,0,22,56,36,42
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-13,0,0,22,56,31,33
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-14,0,0,21,33,21,22
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-15,0,0,21,44,16,22
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-16,0,0,20,58,22,28
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-17,0,0,20,42,28,32
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-03-18,0,0,20,54,26,30
